"Data","Dependencia Origem","Histórico","Data do Balancete","Número do documento","Valor",
"06/30/2016","","Saldo Anterior","","0","4825.98",
"07/01/2016","1433-8","Compra com Cartão - 01/07 12:26 CONDOR CENTRO CIV","","144787","-30.38",
"07/01/2016","1433-8","Compra com Cartão - 01/07 18:24 MUNDIAL FOOD","","266257","-22.52",
"07/01/2016","","Cobrança de Juros","","511058916","-4.37",
"07/01/2016","","Cobrança de I.O.F.","","391100701","-2.56",
"07/04/2016","9008-5","Compra com Cartão - 02/07 14:56 ROCHELLE PAES E DOCE","","153772","-59.97",
"07/04/2016","9008-5","Compra com Cartão - 02/07 18:41 ROCHELLE","","267297","-25.00",
"07/04/2016","9008-5","Compra com Cartão - 03/07 16:25 QUEM DISSE BERENICE","","359141","-58.60",
"07/04/2016","1433-8","Banco 24 Horas - 03/07 16:32 SHOP CURITIBA I","","456416","-70.00",
"07/04/2016","9008-5","Compra com Cartão - 03/07 16:37 FARMACIA  DROG NI","","659836","-50.42",
"07/04/2016","9008-5","Compra com Cartão - 03/07 16:53 TROPICAL BANANA","","760797","-19.90",
"07/04/2016","9008-5","Compra com Cartão - 03/07 17:57 POSTO VICENTE MACHAD","","864678","-44.18",
"07/04/2016","9008-5","Compra com Cartão - 03/07 17:58 POSTO VICENTE MACHAD","","164729","-50.00",
"07/04/2016","9008-5","Compra com Cartão - 03/07 18:08 LANCHONETE EXCELE","","265283","-26.29",
"07/04/2016","","S A L D O","","0","4361.79",
