"Data","Dependencia Origem","Histórico","Data do Balancete","Número do documento","Valor",
"02/29/2016","","Saldo Anterior","","0","7510.51",
"03/01/2016","1433-8","Compra com Cartão - 01/03 19:27 CONDOR CENTRO CIV","","170050","-17.90",
"03/01/2016","","SAQUEterminal - Tarifa referente a 29/02/2016","","820610700282019","-1.95",
"03/01/2016","","SAQUEterminal - Tarifa referente a 29/02/2016","","820610700486568","-1.95",
"03/01/2016","","Cobrança de Juros","","511058916","-11.53",
"03/01/2016","","Cobrança de I.O.F.","","391100701","-2.18",
"03/02/2016","1433-8","Compra com Cartão - 02/03 12:58 CTBA MARECHAL II","","146707","-17.07",
"03/02/2016","1433-8","Compra com Cartão - 02/03 13:29 MARLI GOMES DOS S","","248575","-45.00",
"03/02/2016","1433-8","Compra com Cartão - 02/03 13:40 MONTE SIAO ESTACI","","349241","-8.00",
"03/02/2016","5712-6","Saque no TAA - 02/03 12:55 SOP-MARECHAL DEODORO","","21255187934564","-340.00",
"03/02/2016","","Pagto cartão crédito","","92400895","-1624.76",
"03/03/2016","1433-8","Compra com Cartão - 03/03 17:51 SUBWAY","","164274","-13.25",
"03/03/2016","1433-8","Compra com Cartão - 03/03 20:15 PETRO BRASIL SERV","","272930","-5.00",
"03/03/2016","1518-0","Saque no TAA - 03/03 11:42 SERPRO","","31142097934564","-30.00",
"03/03/2016","1518-0","Saque no TAA - 03/03 18:45 SERPRO","","31845487934564","-120.00",
"03/04/2016","1433-8","Compra com Cartão - 04/03 09:27 AUTO POSTO JUVEVE","","134050","-34.50",
"03/04/2016","1433-8","Compra com Cartão - 04/03 14:29 SMART CELL","","252141","-29.00",
"03/04/2016","1433-8","Compra com Cartão - 04/03 14:30 CACAU SHOW","","352246","-5.00",
"03/07/2016","1433-8","Compra com Cartão - 05/03 15:29 MONTE SIAO ESTACIONA","","23067","-12.00",
"03/07/2016","1433-8","Compra com Cartão - 07/03 13:36 FIRST PHOTO GAMES","","149012","-14.00",
"03/07/2016","1433-8","Compra com Cartão - 05/03 14:17 MATRIZ COMERCIO DE A","","151442","-17.99",
"03/07/2016","1433-8","Compra com Cartão - 06/03 14:50 UCI BRASIL","","153402","-46.00",
"03/07/2016","1433-8","Compra com Cartão - 06/03 18:17 O BOTICARIO 13182","","165860","-31.19",
"03/07/2016","1433-8","Compra com Cartão - 06/03 15:04 JOY ACESSORIOS","","254241","-66.00",
"03/07/2016","1433-8","Compra com Cartão - 05/03 16:32 SQUALLE","","259544","-89.99",
"03/07/2016","1433-8","Compra com Cartão - 06/03 18:24 LOJAS AMERICANAS","","266293","-5.99",
"03/07/2016","1433-8","Compra com Cartão - 06/03 15:17 DROGARIAS NISSEI","","355022","-37.02",
"03/07/2016","1433-8","Compra com Cartão - 05/03 17:24 CASA DE SUCOS WIN","","362666","-11.50",
"03/07/2016","1433-8","Compra com Cartão - 06/03 19:03 LOUCAS POR ESMALTES","","368618","-8.50",
"03/07/2016","1433-8","Compra com Cartão - 06/03 17:12 ZAPATA","","661959","-14.93",
"03/07/2016","1433-8","Compra com Cartão - 05/03 17:46 DIVA COSMETICOS E PE","","664011","-42.98",
"03/07/2016","1433-8","Compra com Cartão - 06/03 19:08 AUTO PARK SHOP ESTAC","","668907","-22.50",
"03/07/2016","1433-8","Compra com Cartão - 06/03 17:20 GRILETTO","","762446","-4.50",
"03/07/2016","1433-8","Compra com Cartão - 05/03 18:04 MCDONALDS RXV","","765066","-25.00",
"03/07/2016","1433-8","Compra com Cartão - 06/03 19:37 POSTO R JUVEVE","","770675","-23.00",
"03/07/2016","1433-8","Compra com Cartão - 07/03 13:24 SUPERMERCADO ABAGGE","","848246","-25.09",
"03/07/2016","1433-8","Compra com Cartão - 06/03 18:06 MULTICOISAS","","865175","-32.90",
"03/07/2016","1433-8","Compra com Cartão - 05/03 18:34 WEM FASHION BIJUTERI","","866885","-12.00",
"03/07/2016","5712-6","Saque no TAA - 07/03 13:09 SOP-MARECHAL DEODORO","","71309177934564","-70.00",
"03/07/2016","5712-6","Saque no TAA - 07/03 13:09 SOP-MARECHAL DEODORO","","71309417934564","-40.00",
"03/07/2016","","Banco 24 Horas - 06/03 18:58 ESTACAO PLAZA SHOW VIII","","375530006318","-50.00",
"03/07/2016","","Tarifa Pacote de Serviços - Tarifa referente a 07/03/2016","","830671101363065","-10.95",
"03/08/2016","1433-8","Compra com Cartão - 08/03 15:46 CONDOR CENTRO CIV","","156812","-15.41",
"03/08/2016","1433-8","Compra com Cartão - 08/03 18:50 MUNDIAL FOOD RESTAUR","","267853","-15.37",
"03/08/2016","1433-8","Compra com Cartão - 08/03 19:04 CONDOR CENTRO CIV","","368650","-39.00",
"03/09/2016","1433-8","Compra com Cartão - 09/03 09:17 ROCHELLE","","133474","-5.30",
"03/09/2016","1433-8","Compra com Cartão - 09/03 13:02 NATUCLIN","","246927","-14.00",
"03/09/2016","5712-6","Saque no TAA - 09/03 12:53 SOP-MARECHAL DEODORO","","91253057934564","-50.00",
